id_recibo,producto_id,pedido_id,cantidad,valor_unitario,valor_total,ciudad,costo_envio
69,45979,39279,1,280,280,BR-CE,56.0
70,71770,39502,2,530,1060,BR-CE,212.0
71,61356,39834,1,390,390,BR-SP,78.0
72,4835,40610,4,560,2240,BR-PA,448.0
73,74864,42139,5,130,650,BR-GO,130.0
74,12895,42363,6,2600,15600,BR-PR,3120.0
75,19432,42734,2,190,380,BR-AM,76.0
76,37384,42852,3,700,2100,BR-MA,420.0
77,80644,42990,4,990,3960,BR-CE,792.0
78,5995,43127,6,398,2388,BR-AC,477.6
79,51238,43308,6,410,2460,BR-BA,492.0
80,33976,45501,4,120,480,BR-RS,96.0
81,29510,45768,1,360,360,BR-PA,72.0
82,8707,45940,1,150,150,BR-MS,30.0
83,8673,46083,6,490,2940,BR-SP,588.0
84,75706,46133,6,100,600,BR-PA,120.0
85,13814,46161,4,550,2200,BR-MS,440.0
86,12895,47817,3,2600,7800,BR-MG,1560.0
87,53941,48064,6,280,1680,BR-MG,336.0
88,65473,48191,3,210,630,BR-MA,126.0
89,89334,48306,1,350,350,BR-AC,70.0
90,28699,48400,5,420,2100,BR-DF,420.0
91,8673,48442,5,490,2450,BR-SC,490.0
92,44424,49448,4,360,1440,BR-BA,288.0
93,18212,49523,2,120,240,BR-ES,48.0
94,54794,51015,4,350,1400,BR-BA,280.0
95,67445,51499,6,320,1920,BR-PR,384.0
96,44379,51696,3,165,495,BR-PR,99.0
97,11736,54138,6,740,4440,BR-AL,888.0
98,8707,54407,5,150,750,BR-PB,150.0
99,41262,54781,2,390,780,BR-RJ,156.0
100,72621,54993,2,179,358,BR-PE,71.6
101,60010,55140,1,90,90,BR-RJ,18.0
102,67445,56505,3,320,960,BR-RS,192.0
103,39814,56522,1,390,390,BR-RJ,78.0
104,48872,57546,1,120,120,BR-SE,24.0
105,7940,58949,5,1200,6000,BR-DF,1200.0
106,17329,59083,4,590,2360,BR-RO,472.0
107,21516,59833,5,320,1600,BR-BA,320.0
108,84176,60843,3,310,930,BR-GO,186.0
109,70673,60947,2,210,420,BR-SP,84.0
110,84176,61492,4,310,1240,BR-MG,248.0
111,13814,61672,6,550,3300,BR-DF,660.0
112,10795,61962,5,300,1500,BR-MT,300.0
113,100484,62835,5,320,1600,BR-PR,320.0
114,72621,63127,1,179,179,BR-SC,35.8
115,9397,65152,6,345,2070,BR-MT,414.0
116,31835,65613,1,399,399,BR-SE,79.8
117,91248,65616,5,45,225,BR-BA,45.0
118,83792,66697,1,390,390,BR-RR,78.0
119,71946,69499,3,290,870,BR-AM,174.0
120,89334,71163,4,350,1400,BR-PA,280.0
121,53138,72042,6,690,4140,BR-DF,828.0
122,33349,72918,1,270,270,BR-SP,54.0
123,32986,73039,3,315,945,BR-RN,189.0
124,24159,73364,1,270,270,BR-AM,54.0
125,66539,73934,6,399,2394,BR-SP,478.8
126,35129,75193,5,320,1600,BR-MS,320.0
127,84743,75489,1,120,120,BR-SE,24.0
128,79551,75926,3,290,870,BR-AM,174.0
129,37794,76642,2,105,210,BR-AM,42.0
130,56380,76691,2,179,358,BR-TO,71.6
131,93262,76832,2,450,900,BR-MA,180.0
132,4835,77086,5,560,2800,BR-SC,560.0
133,21516,77813,3,320,960,BR-BA,192.0
134,77079,78517,4,100,400,BR-PR,80.0
135,6769,79493,3,220,660,BR-RJ,132.0
136,40082,80293,6,315,1890,BR-SP,378.0
137,70240,80667,6,290,1740,BR-PA,348.0
138,15875,80712,3,490,1470,BR-RR,294.0
139,3451,80745,3,250,750,BR-PR,150.0
140,100983,81263,3,350,1050,BR-AM,210.0
141,18790,81673,4,890,3560,BR-PE,712.0
142,57708,83975,4,990,3960,BR-MS,792.0
143,12609,84694,2,320,640,BR-SE,128.0
144,18212,86244,2,120,240,BR-DF,48.0
145,3829,87084,1,2630,2630,BR-PE,526.0
146,43888,87357,3,190,570,BR-MA,114.0
147,27659,88044,2,140,280,BR-ES,56.0
148,43699,88341,3,169,507,BR-AC,101.4
149,43054,88816,2,320,640,BR-PA,128.0
150,41189,91043,6,160,960,BR-CE,192.0
151,61071,91541,6,450,2700,BR-PI,540.0
152,17395,92175,2,1400,2800,BR-RS,560.0
153,17395,92176,2,1400,2800,BR-PR,560.0
154,4553,92421,1,110,110,BR-RS,22.0
155,100460,93690,6,890,5340,BR-PB,1068.0
156,18790,93914,4,890,3560,BR-SE,712.0
157,5292,94912,3,576,1728,BR-RO,345.6
158,49026,95642,4,240,960,BR-MA,192.0
159,75706,96547,2,100,200,BR-PE,40.0
160,79079,97356,1,320,320,BR-ES,64.0
161,53731,97470,1,430,430,BR-SP,86.0
162,10795,97607,4,300,1200,BR-PR,240.0
163,21429,97787,4,390,1560,BR-AL,312.0
164,87711,98324,3,140,420,BR-PB,84.0
165,91248,98964,5,45,225,BR-AL,45.0
166,64127,99139,3,590,1770,BR-GO,354.0
167,17395,99263,6,1400,8400,BR-RO,1680.0
168,87156,100061,6,160,960,BR-PA,192.0
169,44379,100663,5,165,825,BR-RJ,165.0
170,64127,100730,3,590,1770,BR-DF,354.0
171,91248,101091,6,45,270,BR-RR,54.0
172,77558,101342,3,790,2370,BR-SP,474.0
173,75706,101555,3,100,300,BR-PB,60.0
174,56350,102044,4,245,980,BR-SP,196.0
175,6769,102559,3,220,660,BR-RO,132.0
176,6888,102780,1,350,350,BR-MA,70.0
177,14074,104623,3,450,1350,BR-PA,270.0
178,32126,104930,1,210,210,BR-PR,42.0
179,32126,106174,6,210,1260,BR-RJ,252.0
180,41262,106446,3,390,1170,BR-BA,234.0
181,37384,109092,6,700,4200,BR-MS,840.0
182,100939,110023,6,310,1860,BR-RO,372.0
183,21516,110351,3,320,960,BR-ES,192.0
184,6888,110898,4,350,1400,BR-AM,280.0
185,71770,110911,6,530,3180,BR-GO,636.0
186,8707,111760,2,150,300,BR-SE,60.0
187,33976,112781,6,120,720,BR-PE,144.0
188,68110,113601,5,790,3950,BR-PI,790.0
189,3829,113796,3,2630,7890,BR-PB,1578.0
190,39814,114148,6,390,2340,BR-PI,468.0
191,33348,114537,3,160,480,BR-ES,96.0
192,72667,114560,1,139,139,BR-SC,27.8
193,18128,115582,6,795,4770,BR-ES,954.0
194,53138,115894,1,690,690,BR-PI,138.0
195,53731,116399,6,430,2580,BR-AM,516.0
196,61356,116567,1,390,390,BR-RO,78.0
197,83009,117476,2,280,560,BR-SC,112.0
198,29510,118424,6,360,2160,BR-CE,432.0
199,7940,119487,3,1200,3600,BR-AP,720.0
200,49497,119642,3,320,960,BR-PE,192.0
201,6769,120133,4,220,880,BR-PE,176.0
202,74506,120243,6,420,2520,BR-SE,504.0
203,57815,120757,2,100,200,BR-MA,40.0
204,43054,121528,1,320,320,BR-RN,64.0
205,45878,122672,4,210,840,BR-AM,168.0
206,60010,122833,6,90,540,BR-PB,108.0
207,17258,123143,2,420,840,BR-PB,168.0
208,50330,123456,1,210,210,BR-TO,42.0
209,73038,124748,4,90,360,BR-RJ,72.0
210,17990,124882,5,3800,19000,BR-AC,3800.0
211,68110,124906,4,790,3160,BR-PA,632.0
212,24159,125385,4,270,1080,BR-MA,216.0
213,29650,125478,2,120,240,BR-GO,48.0
214,36306,128851,4,390,1560,BR-SE,312.0
215,66135,129292,5,490,2450,BR-PA,490.0
216,18212,130618,6,120,720,BR-MT,144.0
217,44379,131231,3,165,495,BR-MS,99.0
218,13705,131765,2,180,360,BR-RN,72.0
219,14836,131952,5,1100,5500,BR-RR,1100.0
220,56571,132144,4,420,1680,BR-CE,336.0
221,6262,132439,3,644,1932,BR-AL,386.4
222,82990,133289,3,450,1350,BR-AM,270.0
223,100961,134148,2,480,960,BR-AL,192.0
224,100484,134314,6,320,1920,BR-AC,384.0
225,4853,134570,4,100,400,BR-SC,80.0
226,31835,134898,6,399,2394,BR-GO,478.8
227,13472,135623,5,450,2250,BR-GO,450.0
228,40082,136122,5,315,1575,BR-PA,315.0
229,62594,136485,6,300,1800,BR-MT,360.0
230,35129,136530,3,320,960,BR-MT,192.0
231,21244,137432,4,1120,4480,BR-GO,896.0
232,15470,138266,5,590,2950,BR-MA,590.0
233,86544,139353,3,50,150,BR-PB,30.0
234,7871,139643,6,420,2520,BR-SE,504.0
235,9981,139857,5,4000,20000,BR-BA,4000.0
236,66135,258,2,490,980,BR-TO,196.0
237,86243,385,1,350,350,BR-RO,70.0
238,33349,997,6,270,1620,BR-RR,324.0
239,28699,1629,1,420,420,BR-AC,84.0
240,17329,3801,2,590,1180,BR-RJ,236.0
241,89100,3914,6,4200,25200,BR-PI,5040.0
242,44379,5060,6,165,990,BR-RN,198.0
243,83009,5129,2,280,560,BR-MS,112.0
244,75706,5546,6,100,600,BR-DF,120.0
245,33349,6171,3,270,810,BR-MT,162.0
246,36306,6198,5,390,1950,BR-AL,390.0
247,8673,6503,2,490,980,BR-BA,196.0
248,42913,8006,2,2590,5180,BR-MA,1036.0
249,7871,8679,3,420,1260,BR-AM,252.0
250,47682,10460,3,430,1290,BR-RN,258.0
251,53138,11081,1,690,690,BR-RR,138.0
252,8456,11244,6,360,2160,BR-AP,432.0
253,75557,12085,4,90,360,BR-PB,72.0
254,40508,14210,4,245,980,BR-SE,196.0
255,64127,14583,2,590,1180,BR-AC,236.0
256,89334,16061,4,350,1400,BR-AM,280.0
257,18212,16227,3,120,360,BR-MG,72.0
258,45979,18408,6,280,1680,BR-PE,336.0
259,55452,18506,5,350,1750,BR-PR,350.0
260,72667,18579,6,139,834,BR-RR,166.8
261,6888,19046,3,350,1050,BR-SP,210.0
262,82990,20613,5,450,2250,BR-GO,450.0
263,8456,21264,3,360,1080,BR-RR,216.0
264,86243,23253,6,350,2100,BR-PI,420.0
265,57696,25829,4,410,1640,BR-RR,328.0
266,50771,26761,1,340,340,BR-AM,68.0
267,86302,27049,4,139,556,BR-AM,111.2
268,21516,27677,1,320,320,BR-GO,64.0
269,37384,27809,6,700,4200,BR-SP,840.0
270,6742,27891,3,850,2550,BR-PA,510.0
271,25562,28295,6,320,1920,BR-TO,384.0
272,4853,28812,1,100,100,BR-BA,20.0
273,72621,28816,6,179,1074,BR-RJ,214.8
274,43699,29129,4,169,676,BR-TO,135.2
275,11218,29289,5,250,1250,BR-AP,250.0
276,38723,30199,5,80,400,BR-MT,80.0
277,71770,30571,3,530,1590,BR-ES,318.0
278,13906,30901,3,340,1020,BR-RR,204.0
279,100983,31071,3,350,1050,BR-RJ,210.0
280,32986,31100,5,315,1575,BR-MS,315.0
281,87711,31619,4,140,560,BR-SC,112.0
282,48483,33068,6,400,2400,BR-RJ,480.0
283,5412,34058,2,788,1576,BR-PR,315.2
284,49497,35888,1,320,320,BR-AL,64.0
285,13472,35975,6,450,2700,BR-MA,540.0
286,45979,36081,4,280,1120,BR-SE,224.0
287,86243,36571,6,350,2100,BR-PE,420.0
288,9981,36768,4,4000,16000,BR-ES,3200.0
289,66255,37506,4,390,1560,BR-PA,312.0
290,36195,37547,6,110,660,BR-MS,132.0
291,77558,37746,4,790,3160,BR-PI,632.0
292,9809,38037,2,260,520,BR-RO,104.0
293,87711,38053,5,140,700,BR-RJ,140.0
294,53731,38991,5,430,2150,BR-RN,430.0
295,87156,39234,4,160,640,BR-ES,128.0
296,57696,39994,1,410,410,BR-SE,82.0
297,36195,40358,5,110,550,BR-DF,110.0
298,77558,40834,2,790,1580,BR-MS,316.0
299,29510,40954,6,360,2160,BR-RO,432.0
300,43699,41667,6,169,1014,BR-DF,202.8
301,32986,41751,6,315,1890,BR-PE,378.0
302,70813,42047,6,120,720,BR-RJ,144.0
303,12812,42287,2,320,640,BR-CE,128.0
304,37384,43075,4,700,2800,BR-SE,560.0
305,65473,43365,5,210,1050,BR-RJ,210.0
306,97039,43522,2,320,640,BR-AL,128.0
307,64127,43774,2,590,1180,BR-AC,236.0
308,6742,45253,2,850,1700,BR-SP,340.0
309,40082,45395,1,315,315,BR-RO,63.0
310,39368,45706,6,279,1674,BR-PA,334.8
311,7940,45911,1,1200,1200,BR-PI,240.0
312,86243,46132,1,350,350,BR-PR,70.0
313,100481,47640,5,410,2050,BR-RR,410.0
314,61356,47721,6,390,2340,BR-GO,468.0
315,53138,48553,5,690,3450,BR-SP,690.0
316,27659,49498,1,140,140,BR-SP,28.0
317,49026,49565,6,240,1440,BR-AL,288.0
318,13906,49755,5,340,1700,BR-MA,340.0
319,4553,52936,5,110,550,BR-BA,110.0
320,97039,54104,2,320,640,BR-RS,128.0
321,29012,54346,1,525,525,BR-AL,105.0
322,43054,54637,3,320,960,BR-MA,192.0
323,29893,55620,4,420,1680,BR-GO,336.0
324,24159,56562,5,270,1350,BR-PI,270.0
325,14836,57767,3,1100,3300,BR-SP,660.0
326,12812,58227,3,320,960,BR-RR,192.0
327,17258,59057,5,420,2100,BR-AP,420.0
328,53138,59403,2,690,1380,BR-BA,276.0
329,72667,60151,3,139,417,BR-RS,83.4
330,6262,61427,3,644,1932,BR-SE,386.4
331,17258,61487,4,420,1680,BR-RN,336.0
332,15875,63175,3,490,1470,BR-ES,294.0
333,36195,63477,5,110,550,BR-RO,110.0
334,86544,63670,4,50,200,BR-AC,40.0
335,29650,64170,5,120,600,BR-PE,120.0
336,79079,67318,1,320,320,BR-SC,64.0
337,50771,67812,3,340,1020,BR-PB,204.0
338,12751,68666,1,400,400,BR-RO,80.0
339,74506,68964,5,420,2100,BR-PA,420.0
340,71946,69314,4,290,1160,BR-MS,232.0
341,75557,69917,1,90,90,BR-SP,18.0
342,100484,70057,4,320,1280,BR-AM,256.0
343,15470,70159,2,590,1180,BR-MS,236.0
344,71946,71259,4,290,1160,BR-TO,232.0
345,25562,72637,3,320,960,BR-RS,192.0
346,3829,72959,4,2630,10520,BR-MS,2104.0
347,58245,73153,1,120,120,BR-MT,24.0
348,18212,73344,4,120,480,BR-RN,96.0
349,97039,75154,2,320,640,BR-BA,128.0
350,12609,75724,3,320,960,BR-MS,192.0
351,30263,75795,2,135,270,BR-PE,54.0
352,44424,76003,1,360,360,BR-PR,72.0
353,31651,76352,2,180,360,BR-PB,72.0
354,19432,77161,4,190,760,BR-MG,152.0
355,86302,78468,2,139,278,BR-SP,55.6
356,56380,80657,6,179,1074,BR-PI,214.8
357,14420,81252,3,690,2070,BR-ES,414.0
358,4853,81614,6,100,600,BR-TO,120.0
359,14074,81753,5,450,2250,BR-RR,450.0
360,21429,81789,1,390,390,BR-AC,78.0
361,93262,81971,1,450,450,BR-PA,90.0
362,20029,82800,1,294,294,BR-DF,58.8
363,14836,83159,1,1100,1100,BR-SE,220.0
364,33348,83708,4,160,640,BR-MG,128.0
365,53731,83871,6,430,2580,BR-CE,516.0
366,70240,83914,6,290,1740,BR-MA,348.0
367,51238,83925,5,410,2050,BR-RR,410.0
368,17258,84831,3,420,1260,BR-RS,252.0
369,46573,85046,1,350,350,BR-RJ,70.0
370,82990,85659,6,450,2700,BR-AL,540.0
371,85154,85905,6,420,2520,BR-PA,504.0
372,16634,86867,2,480,960,BR-AM,192.0
373,18212,86918,2,120,240,BR-AM,48.0
374,54794,89000,1,350,350,BR-MG,70.0
375,46573,89463,5,350,1750,BR-RS,350.0
376,57696,90158,1,410,410,BR-MT,82.0
377,84743,91785,1,120,120,BR-CE,24.0
378,32126,93834,5,210,1050,BR-MG,210.0
379,6699,94195,5,320,1600,BR-MT,320.0
380,22407,95475,5,200,1000,BR-RN,200.0
381,8673,96011,2,490,980,BR-BA,196.0
382,56571,96185,6,420,2520,BR-PB,504.0
383,3451,96428,3,250,750,BR-RS,150.0
384,13472,96551,1,450,450,BR-SC,90.0
385,17258,96581,3,420,1260,BR-ES,252.0
386,48483,96584,4,400,1600,BR-BA,320.0
387,6742,97489,2,850,1700,BR-CE,340.0
388,61071,97935,3,450,1350,BR-AL,270.0
389,100481,98442,4,410,1640,BR-PI,328.0
390,44207,100140,1,290,290,BR-PI,58.0
391,9981,100584,2,4000,8000,BR-DF,1600.0
392,50478,100708,1,315,315,BR-PE,63.0
393,88368,100966,6,250,1500,BR-RS,300.0
394,20029,101184,5,294,1470,BR-MT,294.0
395,44207,101748,1,290,290,BR-RN,58.0
396,83866,102584,2,990,1980,BR-GO,396.0
397,83792,102700,2,390,780,BR-AM,156.0
398,86302,103184,1,139,139,BR-MA,27.8
399,31835,104206,2,399,798,BR-GO,159.6
400,7940,104482,4,1200,4800,BR-RS,960.0
401,86845,105725,3,110,330,BR-RN,66.0
402,10795,105941,1,300,300,BR-PI,60.0
403,7729,106256,6,360,2160,BR-RO,432.0
404,35682,106393,6,250,1500,BR-SC,300.0
405,73038,106557,4,90,360,BR-MA,72.0
406,50478,106699,5,315,1575,BR-SP,315.0
407,31651,107459,5,180,900,BR-RJ,180.0
408,83792,108417,1,390,390,BR-GO,78.0
409,64127,108664,3,590,1770,BR-AL,354.0
410,17258,108689,1,420,420,BR-PA,84.0
411,61356,110454,4,390,1560,BR-AL,312.0
412,82990,111247,1,450,450,BR-DF,90.0
413,28699,111279,5,420,2100,BR-RR,420.0
414,12812,111454,6,320,1920,BR-MT,384.0
415,51238,111721,3,410,1230,BR-DF,246.0
416,73692,112420,3,90,270,BR-TO,54.0
417,9397,113225,1,345,345,BR-PE,69.0
418,39368,113914,3,279,837,BR-PI,167.4
419,24159,114745,5,270,1350,BR-PR,270.0
420,9397,115040,4,345,1380,BR-TO,276.0
421,33348,115210,4,160,640,BR-RS,128.0
422,8691,115650,4,180,720,BR-CE,144.0
423,15470,115875,5,590,2950,BR-ES,590.0
424,49497,115989,4,320,1280,BR-PI,256.0
425,84743,116001,6,120,720,BR-SE,144.0
426,44379,116157,2,165,330,BR-AC,66.0
427,21244,116927,3,1120,3360,BR-TO,672.0
428,6381,117747,2,586,1172,BR-MG,234.4
429,71190,117894,1,360,360,BR-MA,72.0
430,82257,119431,5,1600,8000,BR-PB,1600.0
431,33976,120794,4,120,480,BR-PA,96.0
432,100481,121170,4,410,1640,BR-SC,328.0
433,57696,122508,6,410,2460,BR-PB,492.0
434,4853,122545,3,100,300,BR-RN,60.0
435,14836,123941,6,1100,6600,BR-GO,1320.0
436,100961,124940,2,480,960,BR-RR,192.0
437,84176,125043,1,310,310,BR-BA,62.0
438,38723,125834,1,80,80,BR-AP,16.0
439,35129,125860,2,320,640,BR-AM,128.0
440,15470,126383,3,590,1770,BR-RS,354.0
441,7729,127881,6,360,2160,BR-MS,432.0
442,79551,128519,4,290,1160,BR-SC,232.0
443,74506,131091,4,420,1680,BR-MA,336.0
444,6888,131182,5,350,1750,BR-SC,350.0
445,59337,132488,2,390,780,BR-ES,156.0
446,59337,132778,1,390,390,BR-MS,78.0
447,36306,133275,1,390,390,BR-SE,78.0
448,87711,133343,2,140,280,BR-AM,56.0
449,75557,133442,5,90,450,BR-GO,90.0
450,7193,133463,6,320,1920,BR-AL,384.0
451,51314,134133,3,410,1230,BR-GO,246.0
452,32126,135465,6,210,1260,BR-PI,252.0
453,3829,135613,4,2630,10520,BR-SP,2104.0
454,61071,135962,6,450,2700,BR-PE,540.0
455,98964,136343,2,280,560,BR-AC,112.0
456,4835,137806,2,560,1120,BR-RR,224.0
457,83009,138508,5,280,1400,BR-MS,280.0
458,43054,139247,3,320,960,BR-PB,192.0
459,66539,218,1,399,399,BR-PB,79.8
460,85154,228,5,420,2100,BR-PB,420.0
461,53458,550,3,450,1350,BR-PI,270.0
462,9809,1332,6,260,1560,BR-PB,312.0
463,8673,2878,1,490,490,BR-AM,98.0
464,75557,2971,4,90,360,BR-PE,72.0
465,20029,3032,5,294,1470,BR-MS,294.0
466,100484,3679,6,320,1920,BR-PI,384.0
467,32890,3857,2,480,960,BR-MA,192.0
468,100961,5238,5,480,2400,BR-TO,480.0
469,70813,5355,1,120,120,BR-PE,24.0
470,18212,5484,3,120,360,BR-MA,72.0
471,95805,5547,1,100,100,BR-CE,20.0
472,50771,5778,4,340,1360,BR-MT,272.0
473,47405,5939,3,310,930,BR-PA,186.0
474,19432,5998,5,190,950,BR-SC,190.0
475,50478,6066,2,315,630,BR-PI,126.0
476,12812,6654,6,320,1920,BR-SP,384.0
477,4553,6843,3,110,330,BR-AC,66.0
478,12751,7054,5,400,2000,BR-GO,400.0
479,61356,8548,4,390,1560,BR-BA,312.0
480,40082,9510,6,315,1890,BR-TO,378.0
481,39814,9556,1,390,390,BR-RJ,78.0
482,62594,10156,2,300,600,BR-TO,120.0
483,23575,10733,6,210,1260,BR-BA,252.0
484,5995,12048,6,398,2388,BR-RJ,477.6
485,79551,12377,2,290,580,BR-SP,116.0
486,13814,13399,6,550,3300,BR-AC,660.0
487,71946,13865,2,290,580,BR-SE,116.0
488,98964,14257,3,280,840,BR-PR,168.0
489,41518,15598,3,260,780,BR-AP,156.0
490,74506,16297,2,420,840,BR-PA,168.0
491,72621,17201,6,179,1074,BR-TO,214.8
492,33976,18177,1,120,120,BR-AM,24.0
493,4553,18295,5,110,550,BR-RO,110.0
494,86302,18297,5,139,695,BR-MA,139.0
495,13814,18531,6,550,3300,BR-MG,660.0
496,70240,18629,5,290,1450,BR-PI,290.0
497,83792,18792,4,390,1560,BR-SE,312.0
498,27659,20160,1,140,140,BR-PR,28.0
499,14074,21027,4,450,1800,BR-MT,360.0
500,77079,21584,5,100,500,BR-PA,100.0
501,100983,21789,5,350,1750,BR-RR,350.0
502,75557,22580,2,90,180,BR-MT,36.0
503,6742,23518,3,850,2550,BR-RJ,510.0
504,45979,23557,3,280,840,BR-PB,168.0
505,73038,23653,5,90,450,BR-SC,90.0
506,53941,23949,1,280,280,BR-PB,56.0
507,17258,24080,4,420,1680,BR-AP,336.0
508,17258,25565,5,420,2100,BR-RN,420.0
509,59337,25856,3,390,1170,BR-MA,234.0
510,44379,26067,6,165,990,BR-TO,198.0
511,13716,26093,3,450,1350,BR-ES,270.0
512,57815,26134,1,100,100,BR-TO,20.0
513,50771,26263,6,340,2040,BR-RO,408.0
514,44207,26534,4,290,1160,BR-GO,232.0
515,9981,28162,4,4000,16000,BR-RJ,3200.0
516,56571,29196,5,420,2100,BR-MT,420.0
517,73038,30444,1,90,90,BR-AM,18.0
518,12895,30687,1,2600,2600,BR-SE,520.0
519,17258,30767,1,420,420,BR-SC,84.0
520,71190,33931,1,360,360,BR-AM,72.0
521,10086,35128,5,750,3750,BR-PR,750.0
522,36195,36008,5,110,550,BR-MS,110.0
523,74506,36192,4,420,1680,BR-PE,336.0
524,91498,37357,3,130,390,BR-PR,78.0
525,67445,37459,6,320,1920,BR-PA,384.0
526,21516,37473,6,320,1920,BR-MG,384.0
527,41262,38162,6,390,2340,BR-AM,468.0
528,10086,38699,1,750,750,BR-CE,150.0
529,29893,41957,2,420,840,BR-AC,168.0
530,64127,42058,6,590,3540,BR-AP,708.0
531,21429,42926,1,390,390,BR-AP,78.0
532,84692,43231,4,499,1996,BR-RR,399.2
533,27336,44391,3,250,750,BR-ES,150.0
534,58472,44654,5,150,750,BR-MS,150.0
535,15470,44785,5,590,2950,BR-CE,590.0
536,47405,45627,4,310,1240,BR-AL,248.0
537,83792,46193,2,390,780,BR-MT,156.0
538,35129,46474,3,320,960,BR-BA,192.0
539,30263,47288,3,135,405,BR-DF,81.0
540,22568,48186,5,245,1225,BR-RN,245.0
541,60010,48231,6,90,540,BR-MS,108.0
542,30263,48360,6,135,810,BR-SP,162.0
543,47405,48547,5,310,1550,BR-CE,310.0
544,70673,48717,5,210,1050,BR-PE,210.0
545,33349,49230,4,270,1080,BR-PI,216.0
546,83866,49558,3,990,2970,BR-PA,594.0
547,45878,50087,1,210,210,BR-GO,42.0
548,6262,50771,6,644,3864,BR-GO,772.8
549,8707,51262,5,150,750,BR-MA,150.0
550,18790,51711,6,890,5340,BR-SC,1068.0
551,18212,51818,2,120,240,BR-MG,48.0
552,49497,52559,1,320,320,BR-MG,64.0
553,84176,53216,5,310,1550,BR-CE,310.0
554,45695,53747,1,240,240,BR-MG,48.0
555,47682,53772,3,430,1290,BR-AC,258.0
556,50478,53936,2,315,630,BR-AM,126.0
557,47475,54306,1,490,490,BR-MA,98.0
558,19432,54965,4,190,760,BR-MT,152.0
559,66539,55594,2,399,798,BR-DF,159.6
560,6137,57333,2,100,200,BR-RN,40.0
561,11736,57514,1,740,740,BR-PB,148.0
562,51314,57934,3,410,1230,BR-ES,246.0
563,28699,58898,6,420,2520,BR-DF,504.0
564,6381,58907,3,586,1758,BR-RO,351.6
