pedido_id,producto_id,vendedor_id,fecha_compra,total
81263,100983,2,2019-01-31,1050
81673,18790,2,2019-01-31,3560
83975,57708,1,2019-02-01,3960
84694,12609,3,2019-02-01,640
86244,18212,3,2019-02-01,240
87084,3829,4,2019-02-01,2630
87357,43888,5,2019-02-01,570
88044,27659,5,2019-02-01,280
88341,43699,4,2019-02-01,507
88816,43054,2,2019-02-01,640
91043,41189,2,2019-02-01,960
91541,61071,2,2019-02-01,2700
92175,17395,4,2019-02-01,2800
92176,17395,4,2019-02-01,2800
92421,4553,5,2019-02-01,110
93690,100460,2,2019-02-02,5340
93914,18790,3,2019-02-02,3560
94912,5292,2,2019-02-02,1728
95642,49026,3,2019-02-02,960
96547,75706,3,2019-02-02,200
97356,79079,5,2019-02-02,320
97470,53731,5,2019-02-02,430
97607,10795,2,2019-02-02,1200
97787,21429,3,2019-02-02,1560
98324,87711,3,2019-02-02,420
98964,91248,2,2019-02-02,225
99139,64127,5,2019-02-02,1770
99263,17395,5,2019-02-02,8400
100061,87156,2,2019-02-02,960
100663,44379,1,2019-02-02,825
100730,64127,4,2019-02-03,1770
101091,91248,4,2019-02-03,270
101342,77558,5,2019-02-03,2370
101555,75706,5,2019-02-03,300
102044,56350,2,2019-02-03,980
102559,6769,2,2019-02-03,660
102780,6888,3,2019-02-03,350
104623,14074,3,2019-02-03,1350
104930,32126,5,2019-02-04,210
106174,32126,2,2019-02-04,1260
106446,41262,2,2019-02-04,1170
109092,37384,3,2019-02-04,4200
110023,100939,3,2019-02-04,1860
110351,21516,2,2019-02-04,960
110898,6888,1,2019-02-04,1400
110911,71770,5,2019-02-04,3180
111760,8707,3,2019-02-04,300
112781,33976,4,2019-02-05,720
113601,68110,2,2019-02-05,3950
113796,3829,2,2019-02-05,7890
114148,39814,4,2019-02-05,2340
114537,33348,2,2019-02-05,480
114560,72667,2,2019-02-05,139
115582,18128,5,2019-02-05,4770
115894,53138,2,2019-02-05,690
116399,53731,3,2019-02-05,2580
116567,61356,2,2019-02-05,390
117476,83009,4,2019-02-05,560
118424,29510,3,2019-02-05,2160
119487,7940,3,2019-02-05,3600
119642,49497,2,2019-02-05,960
120133,6769,4,2019-02-05,880
120243,74506,2,2019-02-05,2520
120757,57815,5,2019-02-05,200
121528,43054,4,2019-02-06,320
122672,45878,1,2019-02-06,840
122833,60010,2,2019-02-06,540
123143,17258,4,2019-02-06,840
123456,50330,1,2019-02-06,210
124748,73038,4,2019-02-06,360
124882,17990,5,2019-02-06,19000
124906,68110,1,2019-02-06,3160
125385,24159,3,2019-02-06,1080
125478,29650,2,2019-02-06,240
128851,36306,5,2019-02-06,1560
129292,66135,4,2019-02-07,2450
130618,18212,3,2019-02-07,720
131231,44379,3,2019-02-07,495
131765,13705,2,2019-02-07,360
131952,14836,2,2019-02-07,5500
132144,56571,5,2019-02-07,1680
132439,6262,5,2019-02-07,1932
133289,82990,5,2019-02-07,1350
134148,100961,3,2019-02-07,960
134314,100484,1,2019-02-07,1920
134570,4853,5,2019-02-07,400
134898,31835,1,2019-02-07,2394
135623,13472,5,2019-02-07,2250
136122,40082,1,2019-02-07,1575
136485,62594,4,2019-02-07,1800
136530,35129,5,2019-02-07,960
137432,21244,4,2019-02-07,4480
138266,15470,3,2019-02-08,2950
139353,86544,5,2019-02-08,150
139643,7871,5,2019-02-08,2520
139857,9981,1,2019-02-08,20000
258,66135,4,2019-02-08,980
385,86243,2,2019-02-08,350
997,33349,2,2019-02-08,1620
1629,28699,1,2019-02-08,420
3801,17329,3,2019-02-08,1180
3914,89100,3,2019-02-08,25200
5060,44379,4,2019-02-08,990
5129,83009,4,2019-02-08,560
5546,75706,5,2019-02-08,600
6171,33349,2,2019-02-08,810
6198,36306,2,2019-02-08,1950
6503,8673,3,2019-02-09,980
8006,42913,1,2019-02-09,5180
8679,7871,2,2019-02-09,1260
10460,47682,5,2019-02-09,1290
11081,53138,4,2019-02-09,690
11244,8456,5,2019-02-09,2160
12085,75557,3,2019-02-09,360
14210,40508,2,2019-02-09,980
14583,64127,2,2019-02-09,1180
16061,89334,2,2019-02-09,1400
16227,18212,3,2019-02-09,360
18408,45979,2,2019-02-09,1680
18506,55452,2,2019-02-09,1750
18579,72667,1,2019-02-09,834
19046,6888,2,2019-02-09,1050
20613,82990,2,2019-02-09,2250
21264,8456,2,2019-02-10,1080
23253,86243,1,2019-02-10,2100
25829,57696,4,2019-02-10,1640
26761,50771,2,2019-02-10,340
27049,86302,5,2019-02-10,556
27677,21516,2,2019-02-10,320
27809,37384,2,2019-02-10,4200
27891,6742,2,2019-02-10,2550
28295,25562,3,2019-02-10,1920
28812,4853,3,2019-02-10,100
28816,72621,2,2019-02-10,1074
29129,43699,4,2019-02-11,676
29289,11218,4,2019-02-11,1250
30199,38723,1,2019-02-11,400
30571,71770,2,2019-02-11,1590
30901,13906,4,2019-02-11,1020
31071,100983,3,2019-02-11,1050
31100,32986,2,2019-02-11,1575
31619,87711,3,2019-02-11,560
33068,48483,5,2019-02-11,2400
34058,5412,3,2019-02-11,1576
35888,49497,4,2019-02-12,320
35975,13472,2,2019-02-12,2700
36081,45979,2,2019-02-12,1120
36571,86243,2,2019-02-12,2100
36768,9981,2,2019-02-12,16000
37506,66255,5,2019-02-12,1560
37547,36195,1,2019-02-12,660
37746,77558,2,2019-02-12,3160
38037,9809,5,2019-02-12,520
38053,87711,5,2019-02-12,700
38991,53731,3,2019-02-12,2150
39234,87156,3,2019-02-12,640
39994,57696,3,2019-02-12,410
40358,36195,2,2019-02-12,550
40834,77558,5,2019-02-12,1580
40954,29510,2,2019-02-12,2160
41667,43699,3,2019-02-13,1014
41751,32986,5,2019-02-13,1890
42047,70813,4,2019-02-13,720
42287,12812,2,2019-02-13,640
43075,37384,4,2019-02-13,2800
43365,65473,2,2019-02-13,1050
43522,97039,2,2019-02-13,640
43774,64127,4,2019-02-13,1180
45253,6742,4,2019-02-13,1700
45395,40082,4,2019-02-13,315
45706,39368,3,2019-02-13,1674
45911,7940,4,2019-02-13,1200
46132,86243,3,2019-02-13,350
47640,100481,1,2019-02-13,2050
47721,61356,5,2019-02-13,2340
48553,53138,4,2019-02-14,3450
49498,27659,2,2019-02-14,140
49565,49026,4,2019-02-14,1440
49755,13906,3,2019-02-14,1700
52936,4553,5,2019-02-14,550
54104,97039,3,2019-02-14,640
54346,29012,5,2019-02-14,525
54637,43054,4,2019-02-14,960
55620,29893,3,2019-02-14,1680
56562,24159,2,2019-02-14,1350
57767,14836,2,2019-02-14,3300
58227,12812,1,2019-02-14,960
59057,17258,2,2019-02-14,2100
59403,53138,2,2019-02-14,1380
60151,72667,3,2019-02-14,417
61427,6262,4,2019-02-15,1932
61487,17258,2,2019-02-15,1680
63175,15875,3,2019-02-15,1470
63477,36195,5,2019-02-15,550
63670,86544,2,2019-02-15,200
64170,29650,4,2019-02-15,600
67318,79079,1,2019-02-15,320
67812,50771,4,2019-02-15,1020
68666,12751,2,2019-02-15,400
68964,74506,3,2019-02-15,2100
69314,71946,4,2019-02-15,1160
69917,75557,4,2019-02-15,90
70057,100484,3,2019-02-15,1280
70159,15470,4,2019-02-15,1180
71259,71946,3,2019-02-15,1160
72637,25562,4,2019-02-15,960
72959,3829,5,2019-02-15,10520
73153,58245,3,2019-02-15,120
73344,18212,4,2019-02-16,480
75154,97039,1,2019-02-16,640
75724,12609,5,2019-02-16,960
75795,30263,5,2019-02-16,270
76003,44424,4,2019-02-16,360
76352,31651,1,2019-02-16,360
77161,19432,2,2019-02-16,760
78468,86302,3,2019-02-17,278
80657,56380,2,2019-02-17,1074
81252,14420,4,2019-02-17,2070
81614,4853,1,2019-02-17,600
81753,14074,4,2019-02-17,2250
81789,21429,1,2019-02-18,390
81971,93262,1,2019-02-18,450
82800,20029,4,2019-02-18,294
83159,14836,3,2019-02-18,1100
83708,33348,3,2019-02-18,640
83871,53731,2,2019-02-18,2580
83914,70240,3,2019-02-18,1740
83925,51238,4,2019-02-18,2050
84831,17258,2,2019-02-18,1260
85046,46573,3,2019-02-18,350
85659,82990,3,2019-02-18,2700
85905,85154,3,2019-02-18,2520
86867,16634,3,2019-02-18,960
86918,18212,2,2019-02-19,240
89000,54794,5,2019-02-19,350
89463,46573,2,2019-02-19,1750
90158,57696,3,2019-02-19,410
91785,84743,1,2019-02-19,120
93834,32126,1,2019-02-19,1050
94195,6699,2,2019-02-20,1600
95475,22407,2,2019-02-20,1000
96011,8673,2,2019-02-20,980
96185,56571,1,2019-02-20,2520
96428,3451,1,2019-02-20,750
96551,13472,3,2019-02-20,450
96581,17258,1,2019-02-20,1260
96584,48483,3,2019-02-20,1600
97489,6742,3,2019-02-20,1700
97935,61071,4,2019-02-20,1350
98442,100481,5,2019-02-20,1640
100140,44207,1,2019-02-20,290
100584,9981,1,2019-02-20,8000
100708,50478,3,2019-02-20,315
100966,88368,4,2019-02-21,1500
101184,20029,5,2019-02-21,1470
101748,44207,2,2019-02-21,290
102584,83866,3,2019-02-21,1980
102700,83792,1,2019-02-21,780
103184,86302,1,2019-02-21,139
104206,31835,1,2019-02-21,798
104482,7940,1,2019-02-21,4800
105725,86845,3,2019-02-22,330
105941,10795,4,2019-02-22,300
106256,7729,5,2019-02-22,2160
106393,35682,4,2019-02-22,1500
106557,73038,3,2019-02-22,360
106699,50478,4,2019-02-22,1575
107459,31651,2,2019-02-22,900
108417,83792,4,2019-02-22,390
108664,64127,5,2019-02-22,1770
108689,17258,2,2019-02-22,420
110454,61356,1,2019-02-22,1560
111247,82990,1,2019-02-22,450
111279,28699,2,2019-02-22,2100
111454,12812,1,2019-02-22,1920
111721,51238,4,2019-02-22,1230
112420,73692,1,2019-02-23,270
113225,9397,3,2019-02-23,345
113914,39368,2,2019-02-23,837
114745,24159,2,2019-02-23,1350
115040,9397,2,2019-02-23,1380
115210,33348,1,2019-02-23,640
115650,8691,4,2019-02-23,720
115875,15470,5,2019-02-23,2950
115989,49497,5,2019-02-23,1280
116001,84743,1,2019-02-23,720
116157,44379,2,2019-02-23,330
116927,21244,5,2019-02-23,3360
117747,6381,3,2019-02-24,1172
117894,71190,3,2019-02-24,360
119431,82257,3,2019-02-24,8000
120794,33976,3,2019-02-24,480
121170,100481,5,2019-02-24,1640
122508,57696,3,2019-02-24,2460
122545,4853,3,2019-02-24,300
123941,14836,3,2019-02-24,6600
124940,100961,3,2019-02-24,960
125043,84176,1,2019-02-24,310
125834,38723,1,2019-02-24,80
125860,35129,2,2019-02-24,640
126383,15470,3,2019-02-25,1770
127881,7729,4,2019-02-25,2160
128519,79551,4,2019-02-25,1160
131091,74506,2,2019-02-25,1680
131182,6888,4,2019-02-25,1750
132488,59337,4,2019-02-25,780
132778,59337,4,2019-02-25,390
133275,36306,4,2019-02-26,390
133343,87711,2,2019-02-26,280
133442,75557,1,2019-02-26,450
133463,7193,1,2019-02-26,1920
134133,51314,3,2019-02-26,1230
135465,32126,3,2019-02-26,1260
135613,3829,5,2019-02-26,10520
135962,61071,3,2019-02-26,2700
136343,98964,5,2019-02-26,560
137806,4835,4,2019-02-26,1120
138508,83009,1,2019-02-27,1400
139247,43054,5,2019-02-27,960
218,66539,1,2019-02-27,399
228,85154,3,2019-02-27,2100
550,53458,1,2019-02-27,1350
1332,9809,4,2019-02-27,1560
2878,8673,5,2019-02-27,490
2971,75557,5,2019-02-27,360
3032,20029,4,2019-02-27,1470
3679,100484,1,2019-02-28,1920
3857,32890,3,2019-02-28,960
5238,100961,4,2019-02-28,2400
5355,70813,3,2019-02-28,120
5484,18212,5,2019-02-28,360
5547,95805,4,2019-02-28,100
5778,50771,3,2019-02-28,1360
5939,47405,2,2019-02-28,930
5998,19432,4,2019-02-28,950
6066,50478,2,2019-03-01,630
6654,12812,2,2019-03-01,1920
6843,4553,5,2019-03-01,330
7054,12751,4,2019-03-01,2000
8548,61356,2,2019-03-01,1560
9510,40082,1,2019-03-01,1890
9556,39814,4,2019-03-01,390
10156,62594,3,2019-03-01,600
10733,23575,3,2019-03-01,1260
12048,5995,3,2019-03-01,2388
12377,79551,4,2019-03-01,580
13399,13814,3,2019-03-01,3300
13865,71946,3,2019-03-01,580
14257,98964,2,2019-03-01,840
15598,41518,1,2019-03-01,780
16297,74506,4,2019-03-01,840
17201,72621,2,2019-03-01,1074
18177,33976,2,2019-03-01,120
18295,4553,3,2019-03-01,550
18297,86302,3,2019-03-01,695
18531,13814,2,2019-03-01,3300
18629,70240,5,2019-03-01,1450
18792,83792,2,2019-03-01,1560
20160,27659,5,2019-03-02,140
21027,14074,4,2019-03-02,1800
21584,77079,4,2019-03-02,500
21789,100983,1,2019-03-02,1750
22580,75557,1,2019-03-02,180
23518,6742,5,2019-03-02,2550
23557,45979,5,2019-03-02,840
23653,73038,3,2019-03-02,450
23949,53941,2,2019-03-02,280
24080,17258,2,2019-03-02,1680
25565,17258,3,2019-03-03,2100
25856,59337,4,2019-03-03,1170
26067,44379,3,2019-03-03,990
26093,13716,4,2019-03-03,1350
26134,57815,3,2019-03-03,100
26263,50771,1,2019-03-03,2040
26534,44207,1,2019-03-03,1160
28162,9981,3,2019-03-03,16000
29196,56571,1,2019-03-03,2100
30444,73038,1,2019-03-03,90
30687,12895,4,2019-03-03,2600
30767,17258,2,2019-03-03,420
33931,71190,3,2019-03-03,360
35128,10086,3,2019-03-03,3750
36008,36195,5,2019-03-03,550
36192,74506,3,2019-03-04,1680
37357,91498,3,2019-03-04,390
37459,67445,3,2019-03-04,1920
37473,21516,1,2019-03-04,1920
38162,41262,3,2019-03-04,2340
38699,10086,2,2019-03-04,750
41957,29893,3,2019-03-04,840
42058,64127,3,2019-03-04,3540
42926,21429,1,2019-03-04,390
43231,84692,3,2019-03-04,1996
44391,27336,3,2019-03-04,750
44654,58472,3,2019-03-04,750
44785,15470,1,2019-03-04,2950
45627,47405,2,2019-03-05,1240
46193,83792,3,2019-03-05,780
46474,35129,4,2019-03-05,960
47288,30263,3,2019-03-05,405
48186,22568,3,2019-03-05,1225
48231,60010,3,2019-03-05,540
48360,30263,1,2019-03-05,810
48547,47405,1,2019-03-05,1550
48717,70673,3,2019-03-05,1050
49230,33349,3,2019-03-05,1080
49558,83866,3,2019-03-05,2970
50087,45878,5,2019-03-05,210
50771,6262,3,2019-03-05,3864
51262,8707,3,2019-03-05,750
51711,18790,3,2019-03-05,5340
51818,18212,5,2019-03-05,240
52559,49497,1,2019-03-05,320
53216,84176,2,2019-03-06,1550
53747,45695,4,2019-03-06,240
53772,47682,2,2019-03-06,1290
53936,50478,1,2019-03-06,630
54306,47475,4,2019-03-06,490
54965,19432,3,2019-03-06,760
55594,66539,4,2019-03-06,798
57333,6137,4,2019-03-06,200
57514,11736,4,2019-03-06,740
57934,51314,4,2019-03-06,1230
58898,28699,4,2019-03-06,2520
58907,6381,3,2019-03-06,1758
59145,62594,3,2019-03-06,1500
59883,10086,1,2019-03-06,2250
61555,31835,4,2019-03-06,399
62982,83795,2,2019-03-06,930
63763,30211,4,2019-03-06,1900
64308,32986,3,2019-03-06,1575
64401,30211,2,2019-03-06,380
64826,21516,5,2019-03-06,640
65699,51238,1,2019-03-06,1230
65935,7871,1,2019-03-06,1260
66170,6742,5,2019-03-07,5100
67149,56571,4,2019-03-07,2100
67457,66539,3,2019-03-07,1995
67883,24159,3,2019-03-07,270
68308,49026,1,2019-03-07,960
68331,13906,3,2019-03-07,1700
68685,87156,3,2019-03-07,160
68764,55452,3,2019-03-07,2100
69699,77079,3,2019-03-07,400
70671,18751,4,2019-03-07,2970
73549,50478,3,2019-03-07,1260
74663,29893,1,2019-03-07,420
74752,11736,4,2019-03-07,2220
76251,58472,5,2019-03-07,900
76511,91498,3,2019-03-07,390
76587,13716,2,2019-03-07,1800
76815,7729,2,2019-03-07,2160
77658,57708,1,2019-03-07,990
77693,100481,3,2019-03-07,2050
78210,9809,3,2019-03-07,1300
78351,3865,5,2019-03-08,32500
78358,8691,5,2019-03-08,540
78428,3820,3,2019-03-08,556
79323,29650,3,2019-03-08,480
80085,39814,3,2019-03-08,1170
80388,6769,5,2019-03-08,440
80486,53138,3,2019-03-08,1380
80885,14074,3,2019-03-08,2700
80967,73038,4,2019-03-08,180
81035,8707,5,2019-03-08,900
84027,29012,2,2019-03-08,3150
84788,59784,2,2019-03-08,780
84905,47405,5,2019-03-08,620
85912,15875,3,2019-03-08,2940
86177,11736,5,2019-03-08,2220
86989,36306,4,2019-03-09,1560
87016,12895,3,2019-03-09,2600
87653,71946,2,2019-03-09,1450
87836,89100,5,2019-03-09,16800
88544,57815,5,2019-03-09,500
88790,40508,1,2019-03-09,735
89312,5292,5,2019-03-09,576
90122,6262,2,2019-03-09,3220
90504,4307,2,2019-03-09,18525
91561,13716,1,2019-03-09,1800
91860,44207,3,2019-03-09,580
92894,91248,4,2019-03-09,270
95660,100460,3,2019-03-09,3560
95923,9981,3,2019-03-09,12000
96776,75557,2,2019-03-09,540
97090,43054,1,2019-03-09,960
97588,84743,5,2019-03-09,120
97962,7871,5,2019-03-10,1260
98248,22568,5,2019-03-10,490
98373,47405,4,2019-03-10,930
98500,45878,1,2019-03-10,1260
99905,100932,1,2019-03-10,19500
100270,17329,4,2019-03-10,2950
101123,88368,3,2019-03-10,500
102986,6769,4,2019-03-10,1320
103121,25562,3,2019-03-10,320
103312,72621,3,2019-03-10,537
103484,100961,4,2019-03-10,1440
103629,41189,3,2019-03-10,960
103831,30263,3,2019-03-10,135
103959,56380,1,2019-03-10,895
103986,49026,1,2019-03-10,240
104107,8673,5,2019-03-11,2450
105315,13814,3,2019-03-11,2200
105465,57708,3,2019-03-11,2970
106350,86544,1,2019-03-11,200
106676,53138,3,2019-03-11,4140
107503,3829,5,2019-03-11,2630
107678,48872,1,2019-03-11,600
108371,75557,5,2019-03-11,270
108398,6381,3,2019-03-11,586
108921,27336,1,2019-03-11,750
109806,17395,4,2019-03-11,7000
110067,53731,4,2019-03-11,1290
110510,4835,2,2019-03-11,3360
110692,6699,4,2019-03-11,1280
110763,45878,3,2019-03-11,210
111103,16634,3,2019-03-11,480
112049,44424,2,2019-03-11,1080
112263,100939,3,2019-03-12,310
112771,19432,3,2019-03-12,570
113444,87711,3,2019-03-12,560
114066,37794,2,2019-03-12,525
114214,15875,5,2019-03-12,490
114433,33348,5,2019-03-12,480
114692,6381,4,2019-03-12,2344
115103,83009,2,2019-03-12,1400
115585,8691,1,2019-03-12,900
116023,18790,4,2019-03-12,890
116627,13472,3,2019-03-12,1350
117102,11218,4,2019-03-12,1500
117887,41262,2,2019-03-12,390
118452,18128,3,2019-03-12,3975
120537,51314,3,2019-03-13,2460
121899,18751,3,2019-03-13,3960
122458,8673,3,2019-03-13,1470
122627,3820,3,2019-03-13,556
124747,56571,3,2019-03-13,2520
125525,98964,4,2019-03-13,560
126480,84692,4,2019-03-13,2495
127170,100961,1,2019-03-13,2880
127854,8673,1,2019-03-13,1470
128390,100484,3,2019-03-13,320
128922,15875,3,2019-03-13,490
129752,8673,3,2019-03-13,1960
132293,5567,5,2019-03-13,1260
132461,42913,3,2019-03-13,5180
132854,56350,3,2019-03-13,1470
133264,31651,2,2019-03-13,180
133310,43888,4,2019-03-13,760
133346,18212,2,2019-03-13,480
133915,12812,3,2019-03-13,1600
134336,74864,2,2019-03-13,650
134477,66135,5,2019-03-13,1470
134699,75706,3,2019-03-13,500
135175,13814,3,2019-03-13,550
135600,67445,3,2019-03-13,960
137826,4853,1,2019-03-14,100
139579,23575,2,2019-03-14,840
191,7729,3,2019-03-14,1440
481,100961,1,2019-03-14,2880
2264,14836,2,2019-03-14,4400
3130,86544,2,2019-03-14,50
3748,49026,1,2019-03-14,720
4443,82990,3,2019-03-14,900
4656,56380,2,2019-03-14,895
4817,15470,4,2019-03-14,1770
5055,95805,1,2019-03-14,200
6589,43699,3,2019-03-14,507
7987,100460,5,2019-03-14,5340
8549,30211,2,2019-03-14,380
8739,79551,5,2019-03-14,1160
8753,57708,1,2019-03-14,1980
9672,85154,3,2019-03-14,840
10136,37794,2,2019-03-14,105
10201,16634,1,2019-03-15,2400
11036,6742,5,2019-03-15,1700
12312,71770,2,2019-03-15,530
14070,6262,4,2019-03-15,3220
15382,17990,1,2019-03-15,15200
15683,10795,3,2019-03-15,900
19001,97039,1,2019-03-15,1280
19529,65473,4,2019-03-15,1050
20375,73692,1,2019-03-15,90
21967,89334,3,2019-03-15,350
23880,2706,4,2019-03-15,3540
23893,35682,5,2019-03-15,1500
24403,87156,3,2019-03-15,480
24430,80644,2,2019-03-15,1980
24671,38723,5,2019-03-15,400
25352,55051,3,2019-03-15,760
26047,93262,3,2019-03-15,900
27881,29510,3,2019-03-15,2160
27976,83792,4,2019-03-15,780
28333,41518,1,2019-03-16,520
28669,64127,3,2019-03-16,590
30188,45878,2,2019-03-16,840
31161,32890,3,2019-03-16,2400
31950,32126,3,2019-03-16,630
32323,13716,1,2019-03-16,450
33502,7940,3,2019-03-16,6000
33764,50330,5,2019-03-16,1050
34448,57708,2,2019-03-16,2970
34932,57696,2,2019-03-16,1230
35004,91498,2,2019-03-16,130
36165,49497,5,2019-03-16,1920
36180,70240,3,2019-03-17,870
36659,38723,1,2019-03-17,80
37652,22568,1,2019-03-17,980
37807,83009,3,2019-03-17,1120
38088,54794,3,2019-03-17,2100
38114,75557,3,2019-03-17,540
38121,12895,4,2019-03-17,2600
38140,18790,2,2019-03-17,2670
38347,58472,3,2019-03-17,300
38462,86845,4,2019-03-17,330
38965,29893,2,2019-03-17,2100
39092,35682,5,2019-03-17,1250
41397,37794,2,2019-03-18,525
44339,13814,3,2019-03-18,2750
44437,75557,2,2019-03-18,360
44615,46573,3,2019-03-18,2100
48689,89100,2,2019-03-18,8400
49520,35682,3,2019-03-18,500
50429,50330,1,2019-03-18,1050
50916,33348,3,2019-03-18,480
51586,74864,3,2019-03-18,520
52795,48483,1,2019-03-18,2000
53015,41262,1,2019-03-18,390
53307,33349,5,2019-03-18,540
53542,8691,2,2019-03-18,1080
54790,44379,3,2019-03-18,330
54836,86544,1,2019-03-18,250
55160,6262,3,2019-03-19,1288
55707,27546,5,2019-03-19,672
56381,31651,3,2019-03-19,180
56500,17395,4,2019-03-19,1400
56900,56380,5,2019-03-19,358
57838,58472,5,2019-03-19,900
58265,12751,2,2019-03-19,1600
58533,43699,5,2019-03-19,1014
58753,33976,1,2019-03-20,240
58882,44207,5,2019-03-20,580
59090,40508,5,2019-03-20,980
59143,33349,5,2019-03-20,1350
60052,53458,4,2019-03-20,900
61201,29510,1,2019-03-20,720
61462,10086,3,2019-03-20,3000
62718,14836,1,2019-03-20,6600
62789,74506,3,2019-03-20,420
62968,56350,1,2019-03-20,980
64431,89334,5,2019-03-20,2100
64689,41518,3,2019-03-20,1300
65018,13716,3,2019-03-20,2700
65703,3865,3,2019-03-20,19500
66056,95805,4,2019-03-20,400
66449,7729,5,2019-03-20,1080
66470,68110,3,2019-03-21,790
